letter,first_pos,second_pos,third_pos,fourth_pos,fifth_pos
A,0.057,0.167,0.124,0.065,0.037,
B,0.078,0.004,0.02,0.015,0.004,
C,0.081,0.012,0.028,0.056,0.011,
D,0.051,0.01,0.03,0.045,0.064,
E,0.029,0.117,0.077,0.182,0.145,
F,0.057,0.002,0.006,0.009,0.007,
G,0.034,0.004,0.03,0.025,0.012,
H,0.031,0.062,0.004,0.014,0.046,
I,0.016,0.108,0.096,0.071,0.007,
J,0.017,0.0,0.002,0.0,0.0,
K,0.017,0.003,0.014,0.03,0.029,
L,0.052,0.07,0.07,0.067,0.046,
M,0.055,0.012,0.028,0.027,0.013,
N,0.02,0.025,0.084,0.079,0.059,
O,0.017,0.155,0.091,0.049,0.027,
P,0.057,0.022,0.019,0.02,0.007,
Q,0.007,0.001,0.0,0.001,0.0,
R,0.043,0.097,0.085,0.066,0.067,
S,0.127,0.012,0.035,0.051,0.245,
T,0.075,0.025,0.051,0.071,0.079,
U,0.011,0.059,0.048,0.024,0.001,
V,0.017,0.004,0.027,0.015,0.0,
W,0.04,0.01,0.007,0.009,0.004,
X,0.002,0.004,0.01,0.001,0.007,
Y,0.008,0.01,0.011,0.006,0.082,
Z,0.001,0.001,0.004,0.004,0.001,
